vendor_number,vendor_name,brand,description,purchase_price,actual_price,volume,total_purchase_qty,total_purchase_dollars,total_sales_qty,total_sales_dollars,total_sales_price,total_excise_tax,fright_cost,gross_profit,profit_margin,stock_turnover,sales_to_purchase_ratio,unsold_inventory_value,unit_price,order_size
60,ADAMBA IMPORTS INTL INC,3979,Vesica Potato Vodka,16.27,20.99,1750.0,4687,76257.5,3931,66871.7,41682.5,7224.06,367.52,-16977.4,-25.388,0.838703,0.87692,57650670.0,16.27000213356091,medium
388,ATLANTIC IMPORTING COMPANY,2034,Glendalough Double Barrel,21.32,32.99,750.0,1777,37885.6,1587,45645.1,37387.0,1251.86,211.74,6295.89,13.7931,0.893078,1.20481,7198264.0,21.319977490151942,small
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205940.0,58013,1736610.0,294050.0,60913.6,89286.3,380468.0,21.9087,0.968853,1.44004,2249078100.0,20.13995123417616,large
480,BACARDI USA INC,443,St Germain Liqueur,24.45,33.99,750.0,7748,189439.0,7705,273864.0,171471.0,6070.72,89286.3,-10931.6,-3.99163,0.99445,1.44566,8145877.0,24.450051626226124,medium
480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,12.99,1000.0,38957,380610.0,38335,522309.0,123061.0,40251.8,89286.3,12161.2,2.32836,0.984034,1.3723,236739420.0,9.770002823626049,large
480,BACARDI USA INC,743,Angels Envy Whiskey,36.5,45.99,750.0,3333,121654.0,3216,160768.0,96280.7,2533.55,89286.3,-52706.5,-32.7842,0.964897,1.32151,14233518.0,36.4998499849985,small
480,BACARDI USA INC,802,Bacardi Torched Cherry Rum,7.99,11.99,750.0,5049,40341.5,4962,57060.4,39933.6,3910.7,89286.3,-76478.1,-134.03,0.982769,1.41443,3509710.5,7.989998019409784,medium
480,BACARDI USA INC,824,Dewars White Label Scotch,20.76,26.99,1000.0,6787,140898.0,6617,178593.0,106395.0,6947.85,89286.3,-58539.4,-32.7781,0.974952,1.26753,23952660.0,20.75998231913953,medium
480,BACARDI USA INC,903,Bombay Sapphire Gin,18.79,24.99,1000.0,9534,179144.0,9465,251306.0,132815.0,9938.25,89286.3,-27062.0,-10.7685,0.992763,1.40282,12360936.0,18.79001468428781,medium
480,BACARDI USA INC,2258,Dewars Special Reserve 12 Yr,9.77,16.99,375.0,5326,52035.0,4850,66365.5,47050.0,1901.2,89286.3,-76857.0,-115.809,0.910627,1.2754,24768660.0,9.76999624483665,medium
480,BACARDI USA INC,2624,Dewars 18 Yr Old Founders Rv,46.76,64.99,750.0,748,34976.5,644,42753.6,36269.5,508.13,89286.3,-82017.3,-191.837,0.860963,1.22235,3637556.0,46.76002673796791,small
480,BACARDI USA INC,2628,Dewars Special RSV 12-Yr,23.43,31.99,750.0,3780,88565.4,3547,112631.0,89306.0,2796.87,89286.3,-68018.0,-60.3904,0.93836,1.27172,20635738.2,23.43,small
480,BACARDI USA INC,2668,Dewars White Label,10.68,13.99,375.0,5788,61815.8,5551,74776.5,58804.5,2173.77,89286.3,-78499.4,-104.979,0.959053,1.20967,14650344.600000001,10.679993089149965,medium
480,BACARDI USA INC,2672,Dewars White Label,1.8,2.29,50.0,23159,41686.2,22276,51012.0,16275.0,1157.14,89286.3,-81117.6,-159.017,0.961872,1.22372,36808914.599999994,1.7999999999999998,large
480,BACARDI USA INC,2742,Aberfeldy 12 Yr Single Malt,37.98,53.99,750.0,1029,39081.4,881,42761.2,36307.5,694.92,89286.3,-86301.4,-201.822,0.856171,1.09416,5784047.2,37.97998056365403,small
480,BACARDI USA INC,3343,Bombay Sapphire Gin,9.46,12.49,375.0,7472,70685.1,7327,95177.7,71263.1,2870.8,89286.3,-67664.5,-71.0927,0.980594,1.3465,10249339.5,9.459997323340472,medium
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.0,56888,1766390.0,460088.0,104525.0,89286.3,289110.0,16.3673,0.991961,1.37626,591679670.0,22.37998918900068,large
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750.0,12950,243330.0,12094,312799.0,182039.0,22225.7,89286.3,-42043.4,-13.441,0.9339,1.28549,208290480.0,18.78996138996139,large
480,BACARDI USA INC,3437,Bombay Dry Gin,13.84,19.99,750.0,4605,63733.2,4445,82741.5,65670.8,3505.0,89286.3,-73782.9,-89.1728,0.965255,1.29825,10197312.0,13.84,medium
480,BACARDI USA INC,3847,Grey Goose Vodka,2.81,3.79,50.0,22334,62758.5,21606,86207.9,31537.0,1119.15,89286.3,-66956.0,-77.668,0.967404,1.37364,45688188.0,2.809998209008686,large
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375.0,20841,250509.0,20370,303207.0,131327.0,8002.79,89286.3,-44590.6,-14.7063,0.9774,1.21037,117989739.0,12.02000863682165,large
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277760.0,32945,1699670.0,589138.0,60533.4,89286.3,272091.0,16.0085,0.986732,1.3302,566047680.0,38.27003713909189,large
480,BACARDI USA INC,4050,Bacardi Oakheart Spiced Rum,8.72,11.99,750.0,6464,56366.1,6399,76882.0,59128.4,5044.44,89286.3,-73814.8,-96.0105,0.989944,1.36398,3663796.5,8.720003094059406,medium
480,BACARDI USA INC,4075,Bacardi Pineapple Fusion,15.87,19.99,1750.0,3247,51529.9,3246,70123.5,55226.5,5967.96,89286.3,-76660.6,-109.322,0.999692,1.36083,51529.9,15.870003079765938,small
480,BACARDI USA INC,4102,Bacardi Raspberry Rum,10.93,13.99,750.0,3917,42812.8,3381,36626.2,21730.0,2663.1,89286.3,-98136.0,-267.939,0.863161,0.855496,22947660.8,10.929997447025785,small
